TipoOperadora|Operadora|Código|GrupoEconomico|Ano|Receita|DespAdmin|DespAssist|ResseguroCedido
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2001|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2002|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2003|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2004|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2005|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2006|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2007|114138936|30106937|101745983|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2008|122196082|14174299|121298423|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2009|134244960|13796658|128315885|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2010|131037674|9921485|94219658|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2011|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2012|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2013|0|0|0|0
Autogestão|300497-FUNDAÇÃO FORLUMINAS DE SEGURIDADE SOCIAL|300497||2014|0|0|0|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2001|0|452079|0|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2002|2917640|528278|2362029|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2003|3742849|536597|2416000|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2004|4474591|1159065|3109784|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2005|5235000|1296218|2944050|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2006|5944819|909847|4553555|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2007|6551981|826704|4765416|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2008|7692021|718757|6826127|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2009|8039881|742575|6051047|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2010|9060917|930032|6287995|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2011|9021668|1418526|7063807|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2012|9818532|1506593|8669092|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2013|11309458|1814132|10149321|0
Autogestão|302627-CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PE|302627||2014|13289061|2004429|10359228|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2001|2298607|389604|2169438|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2002|2780153|474576|2949648|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2003|3123047|567453|3796519|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2004|3848547|571913|3574531|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2005|4375557|685288|3489781|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2006|4991265|843576|3660114|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2007|5434493|885869|3613251|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2008|5995240|1039337|6702377|0
Autogestão|304131-ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SA|304131||2009|6754512|994518|7500307|0
